# Calibrated: NO
timestamp,lat,lon,hdop,fix_type,em_fog,rssi_815,rssi_868,rssi_915
20.20,56.3396820,-2.7892250,1.2,3,11.0,-93.0,-92.0,-92.0
20.30,56.3396813,-2.7892257,1.2,3,11.0,-93.0,-92.0,-92.0
20.40,56.3396808,-2.7892260,1.2,3,11.2,-93.0,-91.5,-92.0
20.50,56.3396802,-2.7892262,1.2,3,11.2,-93.0,-91.5,-92.0
20.60,56.3396797,-2.7892262,1.2,3,11.2,-93.0,-91.5,-92.0
20.70,56.3396790,-2.7892280,1.2,3,11.5,-93.0,-91.5,-91.5
20.80,56.3396785,-2.7892278,1.2,3,11.5,-93.0,-91.5,-91.5
20.90,56.3396780,-2.7892283,1.2,3,11.5,-93.0,-91.5,-91.5
21.00,56.3396775,-2.7892292,1.2,3,12.1,-91.5,-91.5,-91.5
21.10,56.3396768,-2.7892315,1.2,3,12.1,-91.5,-91.5,-91.5
21.20,56.3396765,-2.7892323,1.2,3,12.1,-91.5,-91.5,-91.5
21.30,56.3396758,-2.7892332,1.2,3,12.1,-91.5,-91.5,-91.5
21.40,56.3396753,-2.7892332,1.2,3,10.9,-91.5,-94.5,-91.5
21.50,56.3396748,-2.7892327,1.2,3,10.9,-91.5,-94.5,-91.5
21.60,56.3396743,-2.7892322,1.2,3,10.9,-91.5,-94.5,-91.5
21.70,56.3396738,-2.7892323,1.2,3,8.4,-91.5,-94.5,-102.0
21.80,56.3396733,-2.7892317,1.2,3,8.4,-91.5,-94.5,-102.0
21.90,56.3396728,-2.7892310,1.2,3,8.4,-91.5,-94.5,-102.0
22.00,56.3396725,-2.7892307,1.2,3,8.0,-92.0,-94.5,-102.0
22.10,56.3396720,-2.7892308,1.2,3,8.0,-92.0,-94.5,-102.0
22.20,56.3396717,-2.7892308,1.2,3,8.0,-92.0,-94.5,-102.0
22.30,56.3396713,-2.7892313,1.2,3,9.6,-92.0,-91.5,-102.0
22.40,56.3396710,-2.7892323,1.2,3,9.6,-92.0,-91.5,-102.0
22.50,56.3396707,-2.7892330,1.2,3,9.6,-92.0,-91.5,-102.0
22.60,56.3396703,-2.7892338,1.2,3,11.9,-92.0,-91.5,-91.5
22.70,56.3396702,-2.7892345,1.2,3,11.9,-92.0,-91.5,-91.5
22.80,56.3396698,-2.7892348,1.2,3,11.9,-92.0,-91.5,-91.5
22.90,56.3396693,-2.7892343,1.2,3,11.9,-92.0,-91.5,-91.5
23.00,56.3396690,-2.7892337,1.2,3,12.1,-91.5,-91.5,-91.5
23.10,56.3396687,-2.7892340,1.2,3,12.1,-91.5,-91.5,-91.5
23.20,56.3396683,-2.7892337,1.2,3,12.1,-91.5,-91.5,-91.5
23.30,56.3396682,-2.7892342,1.2,3,11.9,-91.5,-92.0,-91.5
23.40,56.3396678,-2.7892335,1.2,3,11.9,-91.5,-92.0,-91.5
23.50,56.3396675,-2.7892333,1.2,3,11.9,-91.5,-92.0,-91.5
23.60,56.3396673,-2.7892338,1.2,3,11.7,-91.5,-92.0,-92.0
23.70,56.3396672,-2.7892338,1.2,3,11.7,-91.5,-92.0,-92.0
23.80,56.3396668,-2.7892345,1.2,3,11.7,-91.5,-92.0,-92.0
23.90,56.3396667,-2.7892360,1.2,3,11.7,-91.5,-92.0,-92.0
24.00,56.3396665,-2.7892375,1.2,3,11.0,-93.0,-92.0,-92.0
24.10,56.3396662,-2.7892385,1.2,3,11.0,-93.0,-92.0,-92.0
24.20,56.3396660,-2.7892397,1.2,3,11.0,-93.0,-92.0,-92.0
24.30,56.3396658,-2.7892410,1.2,3,11.0,-93.0,-92.0,-92.0
24.40,56.3396657,-2.7892422,1.2,3,11.0,-93.0,-92.0,-92.0
24.50,56.3396653,-2.7892442,1.2,3,11.0,-93.0,-92.0,-92.0
24.60,56.3396653,-2.7892460,1.2,3,11.2,-93.0,-92.0,-91.5
24.70,56.3396652,-2.7892470,1.2,3,11.2,-93.0,-92.0,-91.5
24.80,56.3396650,-2.7892490,1.2,3,11.2,-93.0,-92.0,-91.5
24.90,56.3396648,-2.7892498,1.2,3,11.0,-93.5,-92.0,-91.5
25.00,56.3396647,-2.7892508,1.2,3,11.0,-93.5,-92.0,-91.5
25.10,56.3396647,-2.7892518,1.2,3,11.0,-93.5,-92.0,-91.5
25.20,56.3396643,-2.7892515,1.2,3,11.0,-93.5,-92.0,-91.5
25.30,56.3396642,-2.7892517,1.2,3,11.3,-93.5,-91.5,-91.5
25.40,56.3396640,-2.7892525,1.2,3,11.3,-93.5,-91.5,-91.5
25.50,56.3396638,-2.7892525,1.2,3,11.3,-93.5,-91.5,-91.5
25.60,56.3396637,-2.7892530,1.2,3,11.3,-93.5,-91.5,-91.5
25.70,56.3396633,-2.7892523,1.2,3,11.3,-93.5,-91.5,-91.5
25.80,56.3396632,-2.7892518,1.2,3,11.3,-93.5,-91.5,-91.5
25.90,56.3396630,-2.7892507,1.2,3,11.9,-92.0,-91.5,-91.5
26.00,56.3396628,-2.7892512,1.2,3,11.9,-92.0,-91.5,-91.5
26.10,56.3396628,-2.7892517,1.2,3,11.9,-92.0,-91.5,-91.5
26.20,56.3396627,-2.7892520,1.2,3,11.9,-92.0,-91.5,-91.5
26.30,56.3396625,-2.7892527,1.2,3,11.9,-92.0,-91.5,-91.5
26.40,56.3396625,-2.7892530,1.2,3,11.9,-92.0,-91.5,-91.5
26.50,56.3396622,-2.7892532,1.2,3,11.9,-92.0,-91.5,-91.5
26.60,56.3396622,-2.7892540,1.2,3,11.9,-92.0,-91.5,-91.5
26.70,56.3396620,-2.7892555,1.2,3,11.9,-92.0,-91.5,-91.5
26.80,56.3396618,-2.7892557,1.2,3,11.9,-92.0,-91.5,-91.5
26.90,56.3396617,-2.7892560,1.2,3,12.1,-91.5,-91.5,-91.5
27.00,56.3396615,-2.7892557,1.2,3,12.1,-91.5,-91.5,-91.5
27.10,56.3396613,-2.7892562,1.2,3,12.1,-91.5,-91.5,-91.5
27.20,56.3396613,-2.7892587,1.2,3,12.1,-91.5,-91.5,-91.5
27.30,56.3396610,-2.7892595,1.2,3,12.1,-91.5,-91.5,-91.5
27.40,56.3396607,-2.7892600,1.2,3,12.1,-91.5,-91.5,-91.5
27.50,56.3396607,-2.7892607,1.2,3,11.9,-91.5,-91.5,-92.0
27.60,56.3396605,-2.7892607,1.2,3,11.9,-91.5,-91.5,-92.0
27.70,56.3396603,-2.7892615,1.2,3,11.9,-91.5,-91.5,-92.0
27.80,56.3396600,-2.7892617,1.2,3,11.7,-92.0,-91.5,-92.0
27.90,56.3396598,-2.7892617,1.2,3,11.7,-92.0,-91.5,-92.0
28.00,56.3396597,-2.7892632,1.2,3,11.7,-92.0,-91.5,-92.0
