timestamp,tick,gsr_raw
2026-06-30T23:26:30Z,5,6316.8
2026-06-30T23:26:30Z,6,6310.3
2026-06-30T23:26:30Z,7,6300.7
2026-06-30T23:26:30Z,8,6290.7
2026-06-30T23:26:30Z,9,6283.1
2026-06-30T23:26:30Z,0,6275.2
2026-06-30T23:26:30Z,1,6260.9
2026-06-30T23:26:30Z,2,6239.4
2026-06-30T23:26:31Z,3,6227.5
2026-06-30T23:26:31Z,4,6221.9
2026-06-30T23:26:31Z,5,6214.5
2026-06-30T23:26:31Z,6,6209.3
2026-06-30T23:26:31Z,7,6206.4
2026-06-30T23:26:31Z,8,6200.9
2026-06-30T23:26:31Z,9,6185.2
2026-06-30T23:26:31Z,0,6168.9
2026-06-30T23:26:31Z,1,6164.2
2026-06-30T23:26:31Z,2,6157.5
2026-06-30T23:26:32Z,3,6151.2
2026-06-30T23:26:32Z,4,6143.4
2026-06-30T23:26:32Z,5,6137.9
2026-06-30T23:26:32Z,6,6127.3
2026-06-30T23:26:32Z,7,6106.2
2026-06-30T23:26:32Z,8,6091.1
2026-06-30T23:26:32Z,9,6083.8
2026-06-30T23:26:32Z,0,6074.5
2026-06-30T23:26:32Z,1,6065.7
2026-06-30T23:26:32Z,2,6059.6
2026-06-30T23:26:33Z,3,6052.1
2026-06-30T23:26:33Z,4,6040.2
2026-06-30T23:26:33Z,5,6020.9
2026-06-30T23:26:33Z,6,6009.7
2026-06-30T23:26:33Z,7,6004.0
2026-06-30T23:26:33Z,8,5995.8
2026-06-30T23:26:33Z,9,5990.2
2026-06-30T23:26:33Z,0,5985.2
2026-06-30T23:26:33Z,1,5978.5
2026-06-30T23:26:33Z,2,5965.6
2026-06-30T23:26:34Z,3,5947.0
2026-06-30T23:26:34Z,4,5937.5
2026-06-30T23:26:34Z,5,5930.4
2026-06-30T23:26:34Z,6,5921.1
2026-06-30T23:26:34Z,7,5915.1
2026-06-30T23:26:34Z,8,5909.7
2026-06-30T23:26:34Z,9,5902.5
2026-06-30T23:26:34Z,0,5889.5
2026-06-30T23:26:34Z,1,5872.0
2026-06-30T23:26:34Z,2,5863.6
2026-06-30T23:26:35Z,3,5857.2
2026-06-30T23:26:35Z,4,5850.3
2026-06-30T23:26:35Z,5,5847.8
2026-06-30T23:26:35Z,6,5846.9
2026-06-30T23:26:35Z,7,5843.6
2026-06-30T23:26:35Z,8,5831.6
2026-06-30T23:26:35Z,9,5815.4
2026-06-30T23:26:35Z,0,5809.7
2026-06-30T23:26:35Z,1,5804.1
2026-06-30T23:26:35Z,2,5799.3
2026-06-30T23:26:36Z,3,5795.6
2026-06-30T23:26:36Z,4,5792.4
2026-06-30T23:26:36Z,5,5784.5
2026-06-30T23:26:36Z,6,5768.7
2026-06-30T23:26:36Z,7,5755.7
2026-06-30T23:26:36Z,8,5751.6
2026-06-30T23:26:36Z,9,5744.2
2026-06-30T23:26:36Z,0,5737.3
2026-06-30T23:26:36Z,1,5732.1
2026-06-30T23:26:36Z,2,5728.1
2026-06-30T23:26:37Z,3,5718.2
2026-06-30T23:26:37Z,4,5701.3
2026-06-30T23:26:37Z,5,5669.3
2026-06-30T23:26:37Z,6,5648.2
2026-06-30T23:26:37Z,7,5641.6
2026-06-30T23:26:37Z,8,5636.9
2026-06-30T23:26:37Z,9,5633.0
2026-06-30T23:26:37Z,0,5629.6
2026-06-30T23:26:37Z,1,5622.1
2026-06-30T23:26:37Z,2,5612.0
2026-06-30T23:26:38Z,3,5611.2
2026-06-30T23:26:38Z,4,5615.9
2026-06-30T23:26:38Z,5,5620.5
2026-06-30T23:26:38Z,6,5628.0
2026-06-30T23:26:38Z,7,5635.5
2026-06-30T23:26:38Z,8,5642.0
2026-06-30T23:26:38Z,9,5641.2
2026-06-30T23:26:38Z,0,5633.2
2026-06-30T23:26:38Z,1,5631.0
2026-06-30T23:26:38Z,2,5630.9
2026-06-30T23:26:39Z,3,5628.7
2026-06-30T23:26:39Z,4,5628.6
2026-06-30T23:26:39Z,5,5623.9
2026-06-30T23:26:39Z,6,5616.0
2026-06-30T23:26:39Z,7,5603.5
2026-06-30T23:26:39Z,8,5583.8
2026-06-30T23:26:39Z,9,5571.1
2026-06-30T23:26:39Z,0,5563.0
2026-06-30T23:26:39Z,1,5553.8
2026-06-30T23:26:39Z,2,5548.8
2026-06-30T23:26:40Z,3,5544.1
2026-06-30T23:26:40Z,4,5538.3
2026-06-30T23:26:40Z,5,5528.3
2026-06-30T23:26:40Z,6,5514.4
2026-06-30T23:26:40Z,7,5508.8
2026-06-30T23:26:40Z,8,5505.1
2026-06-30T23:26:40Z,9,5499.8
2026-06-30T23:26:40Z,0,5497.9
2026-06-30T23:26:40Z,1,5494.9
2026-06-30T23:26:40Z,2,5489.8
2026-06-30T23:26:41Z,3,5478.6
2026-06-30T23:26:41Z,4,5468.9
2026-06-30T23:26:41Z,5,5468.4
2026-06-30T23:26:41Z,6,5470.5
2026-06-30T23:26:41Z,7,5477.9
2026-06-30T23:26:41Z,8,5491.6
2026-06-30T23:26:41Z,9,5509.7
2026-06-30T23:26:41Z,0,5528.9
2026-06-30T23:26:41Z,1,5549.0
2026-06-30T23:26:41Z,2,5583.3
2026-06-30T23:26:42Z,3,5623.3
2026-06-30T23:26:42Z,4,5664.4
2026-06-30T23:26:42Z,5,5704.1
2026-06-30T23:26:42Z,6,5742.2
2026-06-30T23:26:42Z,7,5773.4
2026-06-30T23:26:42Z,8,5792.0
2026-06-30T23:26:42Z,9,5816.3
2026-06-30T23:26:42Z,0,5851.5
2026-06-30T23:26:42Z,1,5889.4
2026-06-30T23:26:42Z,2,5931.8
