# RecordingStartTime:1785503000
timestamp,lat,lon,hdop,pdop,sats,fix_type,speed_kts,course_deg,gsr_raw,hacc_m,rssi_815,rssi_868,rssi_915
116.60,55.9537563,-3.1917632,2.7,3.9,17,3,,,8754.6,1.8,-70.0,-102.0,-102.5
116.70,55.9537562,-3.1917622,2.7,3.9,17,3,,,8750.2,1.8,-70.0,-102.0,-102.5
116.80,55.9537548,-3.1917605,2.7,3.9,17,3,,,8753.6,1.8,-70.0,-102.0,-102.5
116.90,55.9537548,-3.1917605,2.7,3.9,17,3,,,8755.5,1.8,-70.0,-102.0,-102.5
117.00,55.9537532,-3.1917592,2.7,3.9,17,3,,,8765.0,1.8,-70.0,-102.0,-102.5
117.10,55.9537532,-3.1917592,2.7,3.9,17,3,,,8773.9,1.8,-70.0,-102.0,-102.5
117.20,55.9537528,-3.1917583,2.7,3.9,17,3,,,8776.8,1.8,-70.0,-102.0,-102.5
117.30,55.9537517,-3.1917572,2.7,3.9,17,3,,,8800.3,1.8,-70.0,-102.0,-102.5
117.40,55.9537517,-3.1917572,2.7,3.9,17,3,,,8822.1,1.8,-70.0,-102.0,-102.5
117.50,55.9537510,-3.1917568,2.7,3.9,17,3,,,8831.6,1.8,-70.0,-102.0,-102.5
117.60,55.9537505,-3.1917565,2.7,3.9,17,3,,,8845.9,1.8,-70.0,-102.0,-102.5
117.70,55.9537498,-3.1917562,2.7,3.9,17,3,,,8847.7,1.8,-70.0,-102.0,-102.5
117.80,55.9537492,-3.1917553,2.7,3.9,17,3,,,8824.9,1.8,-70.0,-102.0,-102.5
117.90,55.9537487,-3.1917545,2.7,3.9,17,3,,,8824.3,1.8,-70.0,-102.0,-102.5
118.00,55.9537487,-3.1917545,2.7,3.9,17,3,,,8827.9,1.8,-70.0,-102.0,-102.5
118.10,55.9537477,-3.1917542,2.7,3.9,17,3,,,8827.7,1.8,-70.0,-102.0,-102.5
118.20,55.9537477,-3.1917542,2.7,3.9,17,3,,,8838.5,1.8,-70.0,-102.0,-102.5
118.30,55.9537472,-3.1917525,2.7,3.9,17,3,,,8842.7,1.8,-70.0,-102.0,-102.5
118.40,55.9537472,-3.1917525,2.7,3.9,17,3,,,8824.2,1.8,-78.5,-102.0,-102.5
118.50,55.9537465,-3.1917522,2.7,3.9,17,3,,,8824.9,1.8,-75.0,-102.0,-102.5
118.60,55.9537465,-3.1917513,2.7,3.9,17,3,,,8826.8,1.8,-75.0,-102.0,-102.5
118.70,55.9537460,-3.1917512,2.7,3.9,17,3,,,8826.5,1.8,-75.0,-102.0,-102.5
118.80,55.9537458,-3.1917498,2.7,3.9,17,3,,,8834.9,1.8,-75.0,-102.0,-102.5
118.90,55.9537455,-3.1917495,2.7,3.9,17,3,,,8849.3,1.8,-75.0,-102.0,-102.5
119.00,55.9537455,-3.1917495,2.7,3.9,17,3,,,8838.1,1.8,-75.0,-102.0,-102.5
119.10,55.9537445,-3.1917490,2.7,3.9,17,3,,,8841.4,1.8,-75.0,-102.0,-102.5
119.20,55.9537445,-3.1917490,2.7,3.9,17,3,,,8846.3,1.8,-75.0,-102.0,-102.5
119.30,55.9537438,-3.1917482,2.7,3.9,17,3,,,8839.3,1.8,-75.0,-102.0,-102.5
119.40,55.9537438,-3.1917482,2.7,3.9,17,3,,,8825.3,1.8,-75.0,-102.0,-102.5
